product,price,rating,reviews,brand
OPPO A53 64GB Groen,173.99,4.5,1,OPPO
Nokia 6300 4G Wit,73.99,1.0,1,Nokia
Xiaomi Mi 10 Lite 64GB Wit 5G,313.0,4.5,29,Xiaomi
Xiaomi Redmi Note 9S 128GB Wit,239.0,4.5,16,Xiaomi
Huawei P30 Lite 128 GB Wit,229.0,4.5,195,Huawei
Xiaomi Poco X3 128GB Blauw,269.0,4.5,77,Xiaomi
Apple iPhone 12 Pro 128GB Pacific Blue,1159.0,4.5,92,Apple
Huawei P30 Lite 128 GB Blauw,229.0,4.5,195,Huawei
Sony Xperia 10 II 128GB Zwart,329.0,4.0,43,Sony
Apple iPhone 12 256GB Groen,1079.0,4.5,146,Apple
Samsung Galaxy S10 Plus 128 GB Wit,689.0,4.5,216,Samsung
Xiaomi Redmi Note 9 128GB Grijs,229.0,4.5,42,Xiaomi
Apple iPhone 12 256GB RED,1079.0,4.5,146,Apple
Apple iPhone 12 Pro Max 128GB Grafiet,1259.0,4.5,112,Apple
Apple iPhone 11 Pro Max 256 GB Midnight Green,1299.0,5.0,136,Apple
Apple iPhone 12 mini 256GB Blauw,979.0,4.5,98,Apple
Xiaomi Mi 10T Lite 64GB Blauw 5G,279.0,4.5,13,Xiaomi
Apple iPhone 11 256 GB Wit,866.0,4.5,1023,Apple
Motorola Razr 5G 256GB Zwart,1409.0,4.5,7,Motorola
Apple iPhone 12 mini 128GB Groen,859.0,4.5,98,Apple
Samsung Galaxy S10e 128GB Zwart,589.0,4.5,261,Samsung
Xiaomi Redmi Note 9 128GB Groen,229.0,4.5,42,Xiaomi
Xiaomi Redmi 9 64GB Grijs,168.99,4.0,11,Xiaomi
Huawei Y7 (2019) Dual Sim Zwart,154.0,4.5,25,Huawei
Cat S42 32GB Zwart,249.0,4.0,3,Cat
Huawei P Smart Pro 128GB Wit/Paars,275.0,4.5,2,Huawei
Huawei P30 Lite 128 GB Zwart,229.0,4.5,195,Huawei
Apple iPhone 8 64GB Space Gray,489.0,4.5,794,Apple
CrossCall Spider X4 Zwart,99.0,3.5,3,CrossCall
Apple iPhone 12 Pro Max 512GB Pacific Blue,1609.0,4.5,112,Apple
Sony Xperia L4 64GB Zwart,199.0,4.5,7,Sony
Apple iPhone 12 Pro Max 512GB Zilver,1609.0,4.5,112,Apple
Apple iPhone 12 Pro Max 512GB Goud,1609.0,4.5,112,Apple
Samsung Galaxy Note 20 256GB Grijs 4G,789.0,4.5,3,Samsung
Sony Xperia 1 II 256GB Zwart 5G,964.0,4.5,18,Sony
Apple iPhone 11 Pro 256 GB Goud,1059.0,5.0,226,Apple
Apple iPhone 12 Pro 512GB Grafiet,1509.0,4.5,92,Apple
Xiaomi Mi 10 Lite 128GB Grijs 5G,299.0,4.5,29,Xiaomi
Sony Xperia 10 II 128GB Wit,329.0,4.0,43,Sony
RugGear RG150,66.99,2.0,3,RugGear
CrossCall Spider X1 Zwart,68.99,4.5,6,CrossCall
Apple iPhone 12 Pro 512GB Zilver,1509.0,4.5,92,Apple
Apple iPhone 12 Pro 512GB Goud,1509.0,4.5,92,Apple
Apple iPhone 7 32GB Zwart,369.0,4.5,1289,Apple
Apple iPhone 12 Pro 512GB Pacific Blue,1509.0,4.5,92,Apple
Samsung Galaxy A20s 32GB Blauw,166.0,4.5,5,Samsung
Apple iPhone Xr 128 GB RED,629.0,4.5,725,Apple
Apple iPhone 12 mini 256GB Groen,979.0,4.5,98,Apple
Apple iPhone 12 mini  64GB Groen,809.0,4.5,98,Apple
Huawei Y6 (2019) Dual Sim Zwart,139.0,4.5,41,Huawei
Apple iPhone Xr 128 GB Geel,629.0,4.5,725,Apple
Motorola Edge 128GB Zwart 5G,557.0,4.5,4,Motorola
Apple iPhone Xr 128 GB Koraal,629.0,4.5,725,Apple
Huawei P30 Wit/Paars,494.0,4.5,38,Huawei
Apple iPhone Xr 64 GB Koraal,579.0,4.5,725,Apple
Apple iPhone Xr 64 GB Geel,579.0,4.5,725,Apple
Samsung Galaxy A12 128GB Blauw,199.0,0.0,0,Samsung
Samsung Galaxy A12 128GB Zwart,199.0,0.0,0,Samsung
Samsung Galaxy A12 128GB Wit,199.0,0.0,0,Samsung
Samsung Galaxy Note 20 256GB Grijs 5G,899.0,4.5,3,Samsung
Xiaomi Mi 10 Lite 128GB Wit 5G,299.0,4.5,29,Xiaomi
Samsung Galaxy A12 64GB Zwart,179.0,0.0,0,Samsung
Samsung Galaxy A12 64GB Wit,179.0,0.0,0,Samsung
Apple iPhone 11 Pro Max 64 GB Midnight Green,1139.0,5.0,136,Apple
Samsung Galaxy A31 64GB Zwart,279.0,4.5,10,Samsung
Xiaomi Mi 10T Lite 128GB Goud 5G,327.0,4.5,13,Xiaomi
Xiaomi Redmi Note 8 Pro 128 GB Grijs,299.0,4.5,156,Xiaomi
Xiaomi Redmi Note 8 Pro 128 GB Groen,299.0,4.5,156,Xiaomi
Xiaomi Mi 10 Lite 128GB Blauw 5G,299.0,4.5,29,Xiaomi
Doro 8040 Zwart,245.0,4.5,34,Doro
Xiaomi Poco X3 64GB Zwart,232.0,4.5,77,Xiaomi
Crosscall Trekker X4,609.0,4.0,6,Crosscall
OnePlus 8 128GB Zwart 5G,645.0,4.5,60,OnePlus
Samsung Galaxy S10 Lite 128 GB Blauw,499.0,4.5,11,Samsung
Apple iPhone 7 32GB Rose Gold,369.0,4.5,1289,Apple
Xiaomi Redmi Note 9 Pro 128 GB Wit,268.0,4.5,73,Xiaomi
Apple iPhone 11 Pro Max 256 GB Space Gray,1299.0,5.0,136,Apple
Xiaomi Mi 10 256GB Grijs 5G,599.0,4.5,18,Xiaomi
Xiaomi Redmi 9 64GB Paars,168.99,4.0,11,Xiaomi
Samsung Galaxy Note 20 256GB Brons 4G,789.0,4.5,3,Samsung
Apple iPhone 11 Pro Max 64 GB Goud,1139.0,5.0,136,Apple
Huawei Mate 20 Pro Paars,579.0,5.0,19,Huawei
OnePlus 7T Pro 256GB Blauw,744.0,4.5,128,OnePlus
Samsung Galaxy Z Flip 256GB Zwart,1129.0,4.5,4,Samsung
Samsung Galaxy Fold Zwart,1899.0,4.5,2,Samsung
Apple iPhone X 64GB Space Gray,929.0,4.5,236,Apple
CAT S61,869.0,4.0,35,CAT
Samsung Galaxy S20 128GB Grijs 4G Enterprise Editie,779.0,4.0,1,Samsung
Huawei P30 Blauw,494.0,4.5,38,Huawei
Xiaomi Mi Note 10 Groen,478.0,4.5,18,Xiaomi
Apple iPhone SE 128GB Space Gray,469.0,4.5,116,Apple
Xiaomi Redmi Note 9 Pro 64 GB Wit,239.0,4.5,73,Xiaomi
Xiaomi Redmi Note 9 Pro 64 GB Groen,239.0,4.5,73,Xiaomi
Apple iPhone 6s 128GB Space Gray,459.0,4.5,69,Apple
Xiaomi Redmi 9 64GB Groen,168.99,4.0,11,Xiaomi
CAT S41,399.0,4.5,125,CAT
Apple iPhone 6s Plus 32GB Space Gray,419.0,4.5,32,Apple
Xiaomi Redmi 9 32GB Grijs,149.0,4.0,11,Xiaomi
Xiaomi Redmi 9 32GB Groen,149.0,4.0,11,Xiaomi
Xiaomi Redmi 9 32GB Paars,149.0,4.0,11,Xiaomi
Apple iPhone 6s 32GB Rose Gold,399.0,4.5,110,Apple
Motorola Moto G8 Power 64GB Blauw,177.99,4.5,109,Motorola
Huawei Y5 II Dual Sim Zwart,119.0,4.5,26,Huawei
Samsung Galaxy A50 Blauw,309.0,4.5,736,Samsung
Nokia 8.1 Grijs,279.0,4.5,52,Nokia
Samsung Galaxy  A7 (2018) Goud,269.0,4.5,61,Samsung
Doro 8035,202.0,4.5,9,Doro
Huawei Mate 20 Lite Zwart,229.0,4.5,158,Huawei
Xiaomi Redmi Note 9 128GB Wit,229.0,4.5,42,Xiaomi
Samsung Galaxy A30s 64GB Zwart,219.0,4.5,35,Samsung
Motorola Moto G7 Power Zwart,175.0,4.5,106,Motorola
Nokia 5.1 Plus Blauw,149.0,4.5,26,Nokia
Emporia Flip Basic Senioren Telefoon Goud,59.99,4.5,47,Emporia
Samsung Galaxy S21 Geruchten,0.99,0.0,0,Samsung
